,CYCLOMATIC_DENSITY,DECISION_DENSITY,DESIGN_DENSITY,ESSENTIAL_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,PERCENT_COMMENTS,TARGET
222,0.25,0.0,1.0,0.0,17.17,2.4,98.9,0.01,0.42,5.49,41.21,1.0,0.2,0.0,False
223,0.28,2.0,0.2,0.0,11.47,28.0,8990.21,0.11,0.04,499.46,321.08,0.2,0.25,0.0,False
224,0.08,0.0,1.0,0.0,67.02,7.76,4036.66,0.17,0.13,224.26,520.13,1.0,0.04,20.0,False
225,0.44,2.23,0.59,0.44,47.02,30.81,44643.75,0.48,0.03,2480.21,1448.82,0.47,0.39,0.0,False
226,0.32,2.25,0.83,0.0,55.47,8.07,3611.37,0.15,0.12,200.63,447.56,0.17,0.11,58.33,True
227,0.42,2.86,0.36,0.38,39.94,25.45,25867.91,0.34,0.04,1437.11,1016.49,0.43,0.2,40.0,False
228,0.4,2.0,0.5,0.0,18.39,4.89,439.63,0.03,0.2,24.42,89.92,0.5,0.33,0.0,False
229,0.3,2.0,0.67,0.0,11.82,19.0,4268.6,0.07,0.05,237.14,224.66,0.33,0.23,0.0,False
230,0.21,2.0,1.0,0.0,39.25,24.9,24336.47,0.33,0.04,1352.03,977.37,0.13,0.17,7.14,False
231,0.12,2.33,0.8,0.5,82.63,16.32,22024.66,0.45,0.06,1223.59,1349.01,0.6,0.07,31.37,False
232,1.0,3.0,0.14,1.0,23.57,7.11,1191.72,0.06,0.14,66.21,167.59,1.0,0.88,0.0,False
233,0.25,2.0,0.5,0.0,14.38,17.85,4583.24,0.09,0.06,254.62,256.76,0.25,0.22,0.0,False
234,0.18,2.38,0.25,0.91,80.39,13.95,15650.31,0.37,0.07,869.46,1121.66,0.92,0.12,24.71,True
235,0.58,2.0,0.21,0.0,99.64,24.6,60297.15,0.82,0.04,3349.84,2451.1,0.07,0.42,12.0,True
236,0.33,2.33,0.75,0.0,23.9,19.68,9260.7,0.16,0.05,514.48,470.46,0.25,0.15,26.67,True
237,0.2,2.5,0.75,0.67,25.11,14.0,4921.77,0.12,0.07,273.43,351.55,0.75,0.17,10.0,False
238,0.5,2.0,1.0,1.0,13.06,16.0,3343.58,0.07,0.06,185.75,208.97,1.0,0.36,16.67,False
239,0.32,2.05,0.83,0.82,63.43,34.98,77622.82,0.74,0.03,4312.38,2218.95,0.83,0.29,2.82,False
240,0.5,0.0,1.0,0.0,7.92,4.0,126.8,0.01,0.25,7.04,31.7,1.0,0.2,0.0,False
241,0.27,2.0,0.67,0.0,33.56,12.02,4852.71,0.13,0.08,269.59,403.55,0.17,0.26,0.0,False
242,0.4,2.0,0.25,0.0,11.6,38.5,17191.86,0.15,0.03,955.1,446.54,0.25,0.27,0.0,False
243,0.61,2.0,0.07,0.0,318.29,36.8,430930.48,3.9,0.03,23940.58,11711.56,0.02,0.46,9.33,True
244,0.13,0.0,1.0,0.0,16.52,12.09,2414.38,0.07,0.08,134.13,199.69,1.0,0.09,12.5,False
245,0.08,2.0,1.0,0.0,30.78,18.0,9971.33,0.18,0.06,553.96,553.96,0.5,0.07,0.0,False
246,0.21,2.0,0.33,0.0,20.84,11.0,2521.73,0.08,0.09,140.1,229.25,0.33,0.14,0.0,False
247,0.5,0.0,1.0,0.0,10.57,3.0,95.1,0.01,0.33,5.28,31.7,1.0,0.2,0.0,False
248,0.19,3.0,0.38,0.57,60.44,19.68,23416.59,0.4,0.05,1300.92,1189.7,0.63,0.04,16.0,False
249,0.29,2.25,0.83,0.6,28.27,12.8,4632.25,0.12,0.08,257.35,361.89,0.67,0.27,9.52,False
250,0.38,2.0,0.67,0.0,12.89,11.0,1559.55,0.05,0.09,86.64,141.78,0.33,0.15,45.45,False
251,0.24,2.0,0.42,0.22,43.01,71.26,218421.83,1.02,0.01,12134.55,3065.17,0.26,0.17,16.67,False
252,0.6,2.0,1.0,0.0,24.09,5.6,755.36,0.04,0.18,41.96,134.89,0.33,0.33,0.0,False
253,0.24,2.5,0.75,0.67,29.9,16.61,8254.12,0.17,0.06,458.56,496.83,0.75,0.13,15.0,False
254,0.2,0.0,1.0,0.0,16.65,4.67,362.64,0.03,0.21,20.15,77.71,1.0,0.14,0.0,False
255,0.81,2.0,0.05,0.0,112.1,18.1,36742.62,0.68,0.06,2041.26,2029.51,0.05,0.73,92.59,False
256,0.2,2.0,1.0,0.0,28.55,8.0,1827.2,0.08,0.13,101.51,228.4,0.5,0.12,0.0,False
257,0.13,2.0,1.0,1.0,35.61,11.67,4847.17,0.14,0.09,269.29,415.47,1.0,0.11,8.33,False
258,0.5,2.0,0.5,0.0,12.44,7.71,740.57,0.03,0.13,41.14,96.0,0.5,0.25,0.0,False
259,0.23,2.2,0.43,0.33,46.55,19.92,18476.3,0.31,0.05,1026.46,927.38,0.43,0.11,35.14,False
260,0.33,2.0,0.5,0.0,5.18,15.0,1165.64,0.03,0.07,64.76,77.71,0.5,0.25,14.29,False
261,0.31,2.75,0.38,0.57,29.28,26.67,20818.63,0.26,0.04,1156.59,780.7,0.63,0.15,36.84,False
262,0.21,2.0,0.8,0.75,33.28,15.94,8459.67,0.18,0.06,469.98,530.57,0.8,0.06,68.85,True
263,0.25,2.0,1.0,0.0,24.81,8.5,1792.72,0.07,0.12,99.6,210.91,0.5,0.08,53.33,False
264,0.27,3.0,0.33,1.0,14.12,10.89,1674.72,0.05,0.09,93.04,153.8,1.0,0.23,0.0,False
265,0.18,2.0,0.5,0.0,28.56,10.66,3242.83,0.1,0.09,180.16,304.31,0.5,0.11,0.0,False
266,0.1,2.0,0.67,0.0,25.67,18.53,8812.64,0.16,0.05,489.59,475.6,0.33,0.05,50.98,False
267,0.07,0.0,1.0,0.0,26.75,10.8,3119.68,0.1,0.09,173.32,288.86,1.0,0.05,0.0,False
268,0.14,3.0,1.0,1.0,36.99,12.3,5596.5,0.15,0.08,310.92,455.0,1.0,0.11,0.0,False
269,0.18,2.0,0.38,0.0,56.27,20.0,22506.86,0.38,0.05,1250.38,1125.34,0.13,0.1,33.93,False
270,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,False
271,0.22,2.0,0.25,0.0,48.72,35.88,62721.59,0.58,0.03,3484.53,1748.09,0.25,0.19,5.56,False
272,0.39,0.0,0.14,0.0,18.16,18.0,5884.2,0.11,0.06,326.9,326.9,0.14,0.3,33.33,False
273,0.24,2.5,0.43,0.83,36.88,23.03,19562.81,0.28,0.04,1086.82,849.37,0.86,0.12,42.5,False
274,0.33,0.0,1.0,0.0,8.0,3.0,72.0,0.01,0.33,4.0,24.0,1.0,0.2,25.0,False
275,0.25,2.0,0.67,0.0,14.42,12.38,2207.86,0.06,0.08,122.66,178.41,0.33,0.21,0.0,False
276,0.6,3.0,0.33,1.0,13.11,4.8,301.96,0.02,0.21,16.78,62.91,1.0,0.5,0.0,False
277,0.4,2.0,0.5,0.0,10.75,6.0,387.18,0.02,0.17,21.51,64.53,0.5,0.29,0.0,False
278,0.31,2.13,0.73,0.88,52.16,53.78,150849.96,0.93,0.02,8380.54,2804.96,0.88,0.27,10.71,False
279,0.37,2.0,0.57,1.0,36.63,17.5,11218.74,0.21,0.06,623.26,641.07,1.0,0.32,0.0,False
280,0.2,0.0,1.0,0.0,24.53,4.38,469.49,0.04,0.23,26.08,107.31,1.0,0.08,37.5,False
281,0.12,2.0,1.0,0.0,31.55,14.0,6184.08,0.15,0.07,343.56,441.72,0.5,0.11,5.88,False
282,0.14,0.0,1.0,0.0,37.41,7.15,1914.51,0.09,0.14,106.36,267.62,1.0,0.1,0.0,False
283,0.17,0.0,1.0,0.0,8.22,9.0,666.08,0.02,0.11,37.0,74.01,1.0,0.14,0.0,False
284,0.33,2.0,0.5,0.0,22.74,6.67,1010.8,0.05,0.15,56.16,151.62,0.5,0.09,57.14,False
285,0.22,2.0,0.31,0.0,36.82,82.8,252471.13,1.02,0.01,14026.17,3048.99,0.06,0.2,14.67,False
286,0.2,0.0,1.0,0.0,18.67,7.07,933.43,0.04,0.14,51.86,132.0,1.0,0.17,0.0,False
287,0.17,0.0,1.0,0.0,14.8,3.5,181.32,0.02,0.29,10.07,51.81,1.0,0.14,0.0,False
288,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
289,0.13,0.0,1.0,0.0,48.53,4.46,967.16,0.07,0.22,53.73,216.64,1.0,0.11,0.0,False
290,0.33,0.0,1.0,0.0,7.75,2.0,31.02,0.01,0.5,1.72,15.51,1.0,0.14,25.0,False
291,0.14,2.0,1.0,0.0,23.37,9.15,1958.65,0.07,0.11,108.81,213.97,0.33,0.1,30.77,False
292,0.26,2.5,0.3,0.22,31.44,19.3,11716.29,0.2,0.05,650.91,606.95,0.3,0.14,29.41,False
293,0.38,2.0,0.44,0.48,69.02,44.68,137758.8,1.03,0.02,7653.27,3083.42,0.5,0.33,2.25,False
294,0.14,2.0,0.5,0.0,49.99,17.26,14890.23,0.29,0.06,827.24,862.77,0.25,0.1,10.0,False
295,0.15,2.17,0.88,0.43,61.71,22.17,30324.0,0.46,0.05,1684.67,1368.0,0.5,0.07,27.78,False
296,0.13,0.0,1.0,0.0,14.36,5.71,468.83,0.03,0.18,26.05,82.04,1.0,0.1,0.0,False
297,0.09,0.0,1.0,0.0,36.34,8.56,2660.01,0.1,0.12,147.78,310.91,1.0,0.06,0.0,False
298,0.2,2.0,0.25,0.67,19.14,14.0,3750.95,0.09,0.07,208.39,267.93,0.75,0.13,17.39,False
299,0.22,2.25,0.82,0.6,76.18,14.65,16348.21,0.37,0.07,908.23,1116.0,0.64,0.13,29.63,True
300,0.2,2.0,1.0,0.0,43.72,7.5,2459.14,0.11,0.13,136.62,327.89,0.33,0.1,36.36,False
301,0.67,0.0,1.0,0.0,5.8,2.0,23.22,0.0,0.5,1.29,11.61,0.5,0.4,0.0,False
302,0.33,0.0,1.0,0.0,9.83,2.0,39.3,0.01,0.5,2.18,19.65,1.0,0.2,0.0,False
303,0.36,2.0,0.75,1.0,16.45,14.3,3363.72,0.08,0.07,186.87,235.23,1.0,0.31,0.0,False
304,0.5,0.0,1.0,0.0,12.18,3.0,109.62,0.01,0.33,6.09,36.54,1.0,0.2,0.0,False
305,0.14,0.0,1.0,0.0,42.64,2.5,266.51,0.04,0.4,14.81,106.61,1.0,0.1,0.0,False
306,0.15,2.0,0.8,0.0,37.18,17.68,11620.19,0.22,0.06,645.57,657.3,0.2,0.13,2.94,False
307,0.14,0.0,1.0,0.0,32.45,9.95,3211.42,0.11,0.1,178.41,322.84,0.33,0.12,4.55,False
308,0.21,2.2,0.08,1.0,59.11,30.37,54510.88,0.6,0.03,3028.38,1795.05,1.0,0.17,8.7,False
309,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
310,0.33,2.0,0.33,0.0,18.27,7.33,982.52,0.04,0.14,54.58,133.98,0.33,0.2,10.0,False
311,0.31,2.6,0.65,1.0,56.67,17.49,17327.12,0.33,0.06,962.62,990.93,1.0,0.14,36.36,False
312,0.14,0.0,1.0,0.0,38.4,2.5,240.0,0.03,0.4,13.33,96.0,1.0,0.03,69.57,False
313,0.25,0.0,1.0,0.0,17.59,11.57,2355.07,0.07,0.09,130.84,203.52,1.0,0.14,0.0,False
314,0.14,2.13,0.1,0.44,35.09,30.33,32286.36,0.35,0.03,1793.69,1064.39,0.5,0.07,42.48,True
315,0.33,0.0,1.0,0.0,9.83,2.0,39.3,0.01,0.5,2.18,19.65,1.0,0.25,0.0,False
316,0.16,2.25,0.83,0.6,60.67,14.77,13234.87,0.3,0.07,735.27,896.11,0.67,0.06,56.25,True
317,0.67,2.0,0.25,1.0,14.12,9.63,1308.36,0.05,0.1,72.69,135.93,1.0,0.57,0.0,False
318,0.23,2.33,0.67,0.5,39.96,20.3,16466.48,0.27,0.05,914.8,811.16,0.56,0.1,32.68,False
319,0.2,0.0,1.0,0.0,9.83,2.0,39.3,0.01,0.5,2.18,19.65,1.0,0.17,0.0,False
320,0.18,2.0,1.0,0.0,43.02,9.88,4199.81,0.14,0.1,233.32,425.08,0.25,0.05,56.1,False
321,0.43,2.0,0.33,0.0,6.38,13.33,1134.8,0.03,0.08,63.04,85.11,0.33,0.33,0.0,False
322,0.14,2.0,1.0,0.0,26.21,11.72,3599.53,0.1,0.09,199.97,307.16,0.33,0.11,12.5,False
323,0.07,2.0,0.33,0.0,99.6,16.93,28538.58,0.56,0.06,1585.48,1685.95,0.33,0.05,14.81,False
324,0.29,2.0,0.4,0.0,35.14,41.18,59587.71,0.48,0.02,3310.43,1447.13,0.1,0.18,30.43,False
325,0.36,2.07,0.5,0.87,52.14,23.89,29750.8,0.42,0.04,1652.82,1245.45,0.88,0.32,2.17,False
326,0.18,2.17,0.77,0.4,120.55,35.67,153359.58,1.43,0.03,8519.98,4299.65,0.42,0.14,9.15,True
327,0.75,2.06,0.02,0.09,51.11,52.22,139356.3,0.89,0.02,7742.02,2668.83,0.11,0.72,1.59,False
328,0.18,2.0,1.0,0.0,31.21,6.13,1170.84,0.06,0.16,65.05,191.16,0.5,0.17,0.0,False
329,0.5,0.0,1.0,0.0,12.18,3.0,109.62,0.01,0.33,6.09,36.54,1.0,0.2,0.0,False
330,0.42,2.2,1.0,1.0,23.36,18.35,7869.25,0.14,0.05,437.18,428.77,1.0,0.36,5.0,False
331,0.5,0.0,1.0,0.0,5.33,1.5,12.0,0.0,0.67,0.67,8.0,1.0,0.2,0.0,False
332,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
333,0.25,0.0,1.0,0.0,13.79,1.5,31.02,0.01,0.67,1.72,20.68,1.0,0.1,0.0,False
334,0.2,2.0,1.0,0.0,21.15,4.5,428.33,0.03,0.22,23.8,95.18,0.5,0.07,25.0,False
335,0.22,2.67,0.73,0.4,51.55,14.14,10311.72,0.24,0.07,572.87,729.11,0.45,0.15,29.09,False
336,0.16,2.0,1.0,0.0,55.57,7.2,2880.61,0.13,0.14,160.03,400.08,0.33,0.13,0.0,False
337,0.25,2.0,0.5,0.0,32.36,31.53,32175.94,0.34,0.03,1787.55,1020.38,0.17,0.1,53.49,False
338,0.45,2.33,0.6,0.5,25.83,12.0,3720.0,0.1,0.08,206.67,310.0,0.6,0.38,0.0,False
339,0.33,0.0,1.0,0.0,7.74,1.5,17.41,0.0,0.67,0.97,11.61,1.0,0.2,0.0,False
340,0.14,2.0,1.0,0.0,30.66,7.76,1848.32,0.08,0.13,102.68,238.04,0.5,0.05,57.69,False
341,0.13,2.0,0.5,0.0,25.68,12.5,4011.84,0.11,0.08,222.88,320.95,0.5,0.11,0.0,False
342,0.06,2.0,0.5,0.0,86.17,6.67,3829.67,0.19,0.15,212.76,574.45,0.5,0.05,6.25,False
343,0.15,2.0,0.25,0.0,47.13,21.56,21902.46,0.34,0.05,1216.8,1015.99,0.25,0.14,0.0,False
344,0.1,2.0,0.33,0.0,87.22,17.4,26406.88,0.51,0.06,1467.05,1517.64,0.33,0.04,46.55,False
345,0.4,2.0,0.75,0.0,11.9,21.72,5615.72,0.09,0.05,311.98,258.51,0.25,0.33,0.0,False
346,0.17,2.0,0.75,0.0,20.71,28.0,16240.0,0.19,0.04,902.22,580.0,0.25,0.11,28.57,False
347,0.23,2.86,0.4,0.64,46.09,53.79,133379.57,0.83,0.02,7409.98,2479.45,0.67,0.15,24.36,True
348,0.33,2.0,0.5,0.0,9.87,5.63,312.22,0.02,0.18,17.35,55.51,0.5,0.29,0.0,False
349,0.08,0.0,1.0,0.0,41.3,3.96,647.18,0.05,0.25,35.95,163.5,1.0,0.06,7.14,False
350,0.43,2.0,0.33,0.0,11.62,9.75,1104.67,0.04,0.1,61.37,113.3,0.33,0.33,0.0,False
351,0.17,0.0,1.0,0.0,10.28,4.38,196.76,0.01,0.23,10.93,44.97,1.0,0.13,0.0,False
352,0.2,0.0,1.0,0.0,27.88,3.3,303.6,0.03,0.3,16.87,92.0,1.0,0.17,20.0,False
353,0.25,2.0,0.67,0.0,15.75,12.35,2402.24,0.06,0.08,133.46,194.51,0.33,0.09,50.0,False
354,0.21,2.0,0.67,0.0,18.75,7.09,942.84,0.04,0.14,52.38,132.96,0.33,0.19,0.0,False
355,0.09,2.0,0.67,0.0,31.15,17.15,9161.25,0.18,0.06,508.96,534.18,0.33,0.05,45.83,False
356,0.17,0.0,1.0,0.0,14.8,3.5,181.32,0.02,0.29,10.07,51.81,1.0,0.14,0.0,False
357,0.43,2.0,1.0,0.0,13.51,13.33,2401.13,0.06,0.08,133.4,180.09,0.33,0.38,0.0,False
358,0.19,2.0,0.25,0.0,16.21,11.0,1962.54,0.06,0.09,109.03,178.41,0.25,0.17,0.0,False
359,0.15,0.0,1.0,0.0,46.12,12.92,7702.88,0.2,0.08,427.94,596.06,0.2,0.12,3.03,False
360,0.1,0.0,1.0,0.0,14.33,6.0,515.71,0.03,0.17,28.65,85.95,1.0,0.08,0.0,False
361,0.33,0.0,1.0,0.0,7.74,1.5,17.41,0.0,0.67,0.97,11.61,1.0,0.25,0.0,False
362,0.03,0.0,1.0,0.0,105.44,11.94,15034.24,0.42,0.08,835.24,1259.02,1.0,0.02,18.18,False
363,0.31,2.0,0.63,0.4,170.88,39.94,272550.45,2.27,0.03,15141.69,6824.42,0.42,0.29,2.86,False
364,0.2,2.0,1.0,0.0,18.6,6.5,786.03,0.04,0.15,43.67,120.93,0.5,0.18,0.0,False
365,0.25,0.0,1.0,0.0,17.68,9.0,1432.07,0.05,0.11,79.56,159.12,1.0,0.14,0.0,False
366,0.4,2.0,0.5,0.0,7.24,16.88,2060.67,0.04,0.06,114.48,122.11,0.5,0.33,0.0,False
367,0.28,2.0,0.86,0.0,38.61,14.97,8655.44,0.19,0.07,480.86,578.1,0.14,0.17,0.0,True
368,0.4,2.0,0.25,0.0,6.88,24.38,4084.91,0.06,0.04,226.94,167.59,0.25,0.33,0.0,False
369,0.22,2.13,0.8,0.22,48.13,38.75,72273.89,0.62,0.03,4015.22,1865.13,0.3,0.2,0.0,False
370,0.2,0.0,1.0,0.0,15.01,7.5,844.41,0.04,0.13,46.91,112.59,1.0,0.1,28.57,False
371,0.31,2.0,0.75,0.0,16.66,27.3,12420.23,0.15,0.04,690.01,454.95,0.25,0.24,0.0,False
372,0.2,0.0,1.0,0.0,8.54,4.67,186.03,0.01,0.21,10.33,39.86,1.0,0.13,0.0,False
373,0.27,2.2,1.0,0.83,93.54,12.79,15311.87,0.4,0.08,850.66,1196.79,0.85,0.21,25.86,False
374,0.29,2.16,0.03,0.0,129.4,55.52,398853.5,2.39,0.02,22158.53,7184.21,0.02,0.27,0.0,False
375,0.2,0.0,1.0,0.0,13.0,3.0,117.0,0.01,0.33,6.5,39.0,1.0,0.17,0.0,False
376,0.13,2.0,0.33,0.0,43.19,11.18,5397.81,0.16,0.09,299.88,482.81,0.33,0.1,16.67,False
377,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
378,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,False
379,0.1,0.0,1.0,0.0,16.53,6.43,683.19,0.04,0.16,37.96,106.27,1.0,0.08,0.0,False
380,0.13,2.0,0.8,0.0,32.31,31.0,31053.16,0.33,0.03,1725.18,1001.71,0.2,0.11,2.5,False
381,0.27,2.67,0.5,0.4,20.15,21.39,9220.24,0.14,0.05,512.24,431.08,0.5,0.24,0.0,False
382,0.18,2.0,1.0,0.0,22.15,6.4,907.38,0.05,0.16,50.41,141.78,0.5,0.15,0.0,False
383,0.43,2.0,0.67,0.0,18.95,7.5,1066.0,0.05,0.13,59.22,142.13,0.33,0.19,14.29,False
384,0.54,2.5,0.14,1.0,10.33,21.25,4666.84,0.07,0.05,259.26,219.62,1.0,0.47,0.0,False
385,0.05,2.0,1.0,0.0,69.53,16.72,19441.83,0.39,0.06,1080.1,1162.63,1.0,0.03,32.14,False
386,0.17,2.0,1.0,0.0,86.98,11.25,11008.93,0.33,0.09,611.61,978.57,0.1,0.11,18.84,False
387,0.07,0.0,1.0,0.0,73.81,6.3,2929.5,0.16,0.16,162.75,465.0,1.0,0.04,28.57,False
388,0.27,2.0,0.33,0.0,12.86,14.78,2807.62,0.06,0.07,155.98,189.99,0.33,0.17,28.57,False
389,0.16,2.25,0.56,0.47,142.15,18.84,50427.99,0.89,0.05,2801.56,2677.35,0.5,0.1,29.2,True
390,0.6,2.0,1.0,0.0,15.88,10.11,1623.23,0.05,0.1,90.18,160.54,0.33,0.5,0.0,False
391,0.2,0.0,1.0,0.0,13.87,4.67,302.05,0.02,0.21,16.78,64.73,1.0,0.1,0.0,False
392,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
393,0.17,2.5,0.5,1.0,28.27,9.69,2655.57,0.09,0.1,147.53,273.99,1.0,0.15,8.7,True
394,0.28,2.14,0.6,0.0,54.39,16.69,15143.75,0.3,0.06,841.32,907.59,0.1,0.25,0.0,False
395,0.3,2.0,0.33,0.0,33.57,11.0,4062.39,0.12,0.09,225.69,369.31,0.33,0.1,50.0,False
396,0.2,0.0,1.0,0.0,8.96,6.0,322.65,0.02,0.17,17.92,53.77,1.0,0.17,0.0,False
397,0.5,2.0,0.5,0.0,12.44,9.0,1008.0,0.04,0.11,56.0,112.0,0.5,0.25,0.0,False
398,0.18,2.0,0.73,0.0,100.29,13.93,19463.42,0.47,0.07,1081.3,1397.13,0.09,0.11,34.18,False
399,0.17,2.0,0.5,0.0,26.46,9.23,2254.82,0.08,0.11,125.27,244.27,0.5,0.1,14.29,False
400,0.4,2.5,0.25,0.67,12.44,13.22,2175.26,0.05,0.08,120.85,164.52,0.75,0.33,20.0,False
401,0.25,2.0,0.5,0.0,12.48,8.33,866.67,0.03,0.12,48.15,104.0,0.5,0.2,0.0,False
402,0.29,2.0,0.25,0.67,15.86,13.3,2805.08,0.07,0.08,155.84,210.91,0.75,0.25,0.0,False
403,0.14,2.0,1.0,0.0,40.92,6.47,1712.28,0.09,0.15,95.13,264.7,0.5,0.06,45.45,False
404,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
405,0.21,2.0,0.33,0.0,30.47,16.36,8158.14,0.17,0.06,453.23,498.55,0.17,0.19,3.45,False
406,0.14,0.0,1.0,0.0,29.34,7.5,1650.59,0.07,0.13,91.7,220.08,1.0,0.05,41.67,True
407,0.14,2.0,0.07,0.0,233.67,37.57,329746.68,2.93,0.03,18319.26,8777.84,0.03,0.11,14.34,False
408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
409,0.09,0.0,1.0,0.0,41.61,8.71,3153.45,0.12,0.11,175.19,362.22,1.0,0.03,52.17,False
410,0.33,0.0,1.0,0.0,17.43,2.0,69.74,0.01,0.5,3.87,34.87,1.0,0.2,0.0,False
411,0.1,0.0,1.0,0.0,17.38,34.71,20938.67,0.2,0.03,1163.26,603.17,1.0,0.08,0.0,False
412,0.07,0.0,1.0,0.0,20.2,27.86,15679.09,0.19,0.04,871.06,562.84,1.0,0.05,0.0,False
413,0.2,0.0,1.0,0.0,11.41,7.5,641.91,0.03,0.13,35.66,85.59,1.0,0.13,42.86,False
414,0.29,2.5,0.25,1.0,15.93,7.2,825.94,0.04,0.14,45.89,114.71,1.0,0.17,33.33,True
415,0.11,0.0,1.0,0.0,18.63,8.14,1235.42,0.05,0.12,68.63,151.72,1.0,0.07,0.0,False
416,0.2,2.29,0.5,0.22,59.99,23.54,33237.05,0.47,0.04,1846.5,1412.03,0.3,0.12,26.23,False
417,0.09,0.0,1.0,0.0,14.33,6.0,515.71,0.03,0.17,28.65,85.95,1.0,0.08,0.0,False
418,0.14,0.0,1.0,0.0,24.59,4.05,405.89,0.03,0.25,22.55,99.91,1.0,0.06,46.15,False
419,0.18,2.0,0.43,0.0,38.26,27.7,29360.62,0.35,0.04,1631.15,1059.85,0.14,0.12,25.0,False
420,0.27,2.0,0.33,0.0,13.96,11.67,1899.9,0.05,0.09,105.55,162.85,0.33,0.23,9.09,False
421,0.25,2.0,0.5,0.0,17.13,4.67,373.12,0.03,0.21,20.73,79.95,0.5,0.13,20.0,False
422,0.4,2.0,1.0,0.0,17.11,5.14,452.57,0.03,0.19,25.14,88.0,0.5,0.33,0.0,False
423,0.43,2.25,0.67,1.0,16.89,18.31,5659.53,0.1,0.05,314.42,309.13,1.0,0.4,0.0,False
424,0.55,2.67,0.17,0.8,8.91,22.4,4472.22,0.07,0.04,248.46,199.65,0.83,0.46,0.0,False
425,0.29,2.0,0.77,0.58,41.66,36.87,56634.51,0.51,0.03,3146.36,1536.0,0.62,0.27,6.52,False
426,0.24,2.0,0.9,0.0,42.39,16.16,11064.31,0.23,0.06,614.68,684.83,0.1,0.13,2.38,False
427,0.17,0.0,1.0,0.0,7.86,2.5,49.13,0.01,0.4,2.73,19.65,1.0,0.05,0.0,False
428,0.25,2.0,1.0,0.0,13.45,3.6,174.36,0.02,0.28,9.69,48.43,0.5,0.18,20.0,False
429,0.25,2.0,1.0,0.0,22.46,9.0,1819.07,0.07,0.11,101.06,202.12,0.5,0.13,25.0,False
430,0.1,2.0,0.5,0.0,46.11,14.5,9695.39,0.22,0.07,538.63,668.65,0.5,0.04,32.25,False
431,0.17,2.0,0.5,0.0,19.12,6.0,688.28,0.04,0.17,38.24,114.71,0.5,0.14,8.33,False
432,0.1,0.0,1.0,0.0,14.33,6.0,515.71,0.03,0.17,28.65,85.95,1.0,0.08,0.0,False
433,0.33,2.0,0.5,0.0,27.54,9.9,2698.99,0.09,0.1,149.94,272.63,0.25,0.27,0.0,False
434,0.22,2.0,0.8,0.0,37.97,14.77,8282.6,0.19,0.07,460.14,560.8,0.2,0.1,45.45,False
435,0.27,2.0,0.67,0.0,21.05,7.09,1058.51,0.05,0.14,58.81,149.28,0.33,0.21,0.0,True
436,0.25,2.0,0.5,0.0,16.35,11.5,2162.0,0.06,0.09,120.11,188.0,0.5,0.22,0.0,False
437,0.71,2.0,0.08,0.0,46.69,123.06,707027.78,1.92,0.01,39279.32,5745.45,0.02,0.7,0.0,False
438,0.25,2.17,0.53,0.14,80.65,25.1,50799.32,0.67,0.04,2822.18,2024.1,0.2,0.13,35.8,False
439,0.14,0.0,1.0,0.0,12.69,6.0,456.88,0.03,0.17,25.38,76.15,1.0,0.13,0.0,False
440,0.07,2.0,0.33,0.0,51.66,44.29,101338.65,0.76,0.02,5629.92,2288.1,0.33,0.05,20.37,False
441,0.29,2.17,0.5,0.0,54.45,20.0,21781.35,0.36,0.05,1210.08,1089.07,0.13,0.1,57.69,False
442,0.07,0.0,1.0,0.0,51.0,8.2,3429.57,0.14,0.12,190.53,418.24,1.0,0.02,41.67,False
443,0.64,2.0,0.14,0.0,13.06,19.83,5137.44,0.09,0.05,285.41,259.02,0.14,0.5,23.08,False
444,0.44,2.0,0.5,0.67,10.4,19.0,3755.43,0.07,0.05,208.64,197.65,0.75,0.33,0.0,False
445,0.23,2.0,0.5,0.0,41.87,14.17,8403.03,0.2,0.07,466.83,593.15,0.17,0.15,11.54,False
446,0.33,2.0,0.5,0.0,15.35,20.67,6557.23,0.11,0.05,364.29,317.29,0.25,0.31,0.0,False
