,V1,V2,V8,V12,V13,V14,V15,V17,V18,V22,V27,V28,V30,V31,V36,V37,V39,TARGET
188,4.0,3.2163,25.0,-0.833,2.334,0.811,8.318,1.053,1.156,1.076,1.732,-0.687,9.0,1.0,3.304,4.167,7.178,2
189,4.412,3.402,32.8,-0.327,4.486,4.297,10.675,0.974,1.14,1.193,2.086,0.0,23.775,15.507,3.405,1.889,8.926,2
190,4.534,4.002,32.4,-0.28,4.039,3.181,10.485,0.983,1.141,1.18,2.14,0.0,23.596,8.016,3.408,2.154,8.619,2
191,4.386,3.408,32.5,-0.09,4.167,3.774,10.379,0.98,1.14,1.186,2.068,0.0,23.377,10.97,3.376,2.044,8.67,2
192,4.263,3.1913,28.6,-1.68,3.41,2.187,9.533,1.038,1.135,1.159,2.0,0.015,19.933,4.143,3.643,3.379,8.478,2
193,4.17,3.4143,30.0,-0.481,2.548,0.971,8.597,1.02,1.154,1.174,1.848,0.425,9.472,1.542,3.379,3.533,7.404,2
194,4.65,4.0313,31.3,0.159,3.39,2.134,9.916,0.991,1.145,1.184,2.122,0.004,10.961,3.936,3.527,2.372,8.131,2
195,4.347,3.4478,30.8,-0.193,3.233,2.3,9.338,0.998,1.147,1.169,2.011,0.014,10.535,4.098,3.405,2.515,7.864,2
196,4.343,3.9399,33.3,-2.514,3.047,1.5,9.309,1.09,1.139,1.108,2.0,-0.097,19.107,2.682,3.519,4.167,8.016,2
197,4.562,3.6148,25.0,-1.185,2.71,0.918,9.184,1.053,1.156,1.066,2.0,-0.265,9.449,1.521,3.424,4.0,7.507,2
198,4.691,3.9139,26.7,-2.845,3.138,1.436,9.666,1.086,1.153,1.066,2.117,0.053,19.412,2.428,3.49,4.241,8.03,2
199,4.476,3.72,31.3,-0.644,2.985,1.5,9.345,1.032,1.143,1.156,2.042,-0.088,20.291,2.34,3.458,3.292,7.864,2
200,4.385,3.9908,32.4,-1.569,3.819,3.09,9.999,1.034,1.141,1.135,2.061,0.0,21.678,6.884,3.432,2.833,8.562,2
201,4.791,4.5316,23.1,-1.384,3.354,1.73,9.99,1.018,1.173,1.117,2.194,-0.008,20.829,2.395,3.467,3.083,8.19,2
202,4.303,3.3317,34.8,1.559,3.027,1.837,9.389,0.979,1.135,1.236,2.0,0.042,10.396,3.193,3.349,2.37,7.827,2
203,4.499,2.8945,46.7,0.0,3.185,1.125,9.311,0.991,1.107,1.323,2.136,0.043,0.0,1.481,3.692,2.16,8.337,2
204,4.651,2.6738,41.7,-0.396,3.482,1.911,9.989,1.007,1.125,1.256,2.202,-0.002,21.674,3.267,3.611,2.692,8.461,2
205,4.692,2.7215,40.7,-0.393,3.547,1.876,10.164,1.002,1.126,1.259,2.236,0.001,21.814,3.356,3.659,2.619,8.548,2
206,4.543,2.5935,40.9,0.008,3.298,1.705,9.722,0.993,1.127,1.253,2.166,-0.008,10.506,2.905,3.567,2.394,8.223,2
207,4.653,1.8048,36.2,0.0,3.874,3.355,10.213,0.97,1.132,1.236,2.214,0.0,0.0,8.143,3.64,1.833,8.486,2
208,4.562,3.2113,42.9,0.0,3.025,0.875,9.54,1.022,1.119,1.209,2.17,0.047,0.0,1.14,3.646,2.917,8.003,2
209,4.77,3.031,45.0,0.125,3.217,1.185,9.882,0.987,1.114,1.294,2.236,0.014,10.757,1.74,3.695,2.4,8.251,2
210,5.072,2.4853,36.1,-0.892,4.22,2.972,10.799,0.984,1.133,1.22,2.351,0.0,24.843,7.668,3.794,2.144,8.984,2
211,4.882,3.2502,44.4,-2.254,3.451,1.258,10.136,1.053,1.116,1.194,2.288,0.005,20.766,2.011,3.762,3.389,8.529,2
212,4.844,2.3785,50.0,-0.439,3.716,0.625,10.35,1.015,1.104,1.266,2.286,0.0,11.622,3.405,3.736,2.573,8.765,2
213,4.77,2.6687,38.5,4.722,3.131,1.185,9.882,0.964,1.128,1.264,2.236,0.012,0.0,1.74,3.533,1.75,7.981,2
214,4.675,1.7703,33.3,0.0,3.343,0.0,9.971,0.967,1.141,1.185,2.236,0.001,0.0,2.829,3.269,1.551,7.764,2
215,4.645,1.7575,45.7,0.0,4.173,0.0,10.642,0.993,1.107,1.297,2.236,0.0,0.0,3.604,3.957,2.043,9.309,2
216,4.679,3.1788,44.4,0.0,3.233,1.261,9.715,1.011,1.116,1.246,2.222,0.014,10.219,1.695,3.67,2.583,8.192,2
217,4.863,2.4397,54.5,0.0,4.043,0.569,10.135,0.984,1.087,1.381,2.3,0.001,0.0,2.241,6.879,1.981,11.612,2
218,4.481,2.7716,33.3,-0.065,2.566,0.929,9.053,1.047,1.139,1.127,2.136,-0.239,9.677,0.964,3.454,3.033,7.487,2
219,4.414,3.0463,38.5,0.0,2.895,1.203,9.209,1.023,1.128,1.241,2.152,-0.083,0.0,1.496,3.637,2.667,7.872,2
220,4.303,2.6696,33.3,-0.046,2.709,0.862,9.067,1.025,1.139,1.166,2.115,0.137,10.021,0.956,3.416,2.778,7.481,2
221,4.875,2.757,35.3,-0.444,3.12,1.233,9.856,1.03,1.135,1.19,2.288,-0.026,21.128,1.585,3.588,3.019,8.043,2
222,4.414,2.9065,30.8,-0.549,2.875,0.917,9.459,1.049,1.144,1.119,2.199,-0.085,10.009,1.101,3.512,2.929,7.713,2
223,4.882,3.3902,41.2,-2.476,3.459,1.258,10.136,1.069,1.127,1.179,2.288,0.005,20.641,2.011,3.785,3.472,8.553,2
224,4.17,3.1898,20.0,-0.968,2.533,0.971,8.597,1.052,1.175,1.032,1.848,0.441,9.243,1.542,3.326,4.033,7.273,2
225,4.414,2.9195,27.3,-0.657,2.915,0.917,9.459,1.067,1.166,1.127,2.199,-0.087,20.069,1.101,3.556,3.405,7.873,2
226,5.076,3.5506,38.1,0.0,3.418,1.258,10.189,1.029,1.133,1.204,2.352,0.004,10.46,1.244,3.821,3.014,8.441,2
227,4.655,3.6465,25.0,-1.641,3.198,1.761,9.723,1.036,1.164,1.1,2.107,-0.028,20.135,2.989,3.445,3.567,8.044,2
228,3.414,2.4441,33.3,0.0,2.631,1.0,7.408,0.997,1.132,1.291,1.618,-0.575,0.0,1.707,3.567,2.653,7.775,2
229,4.303,3.0634,21.4,0.0,2.648,1.459,8.815,1.037,1.164,0.995,1.932,-0.253,0.0,1.745,3.102,3.722,6.978,2
230,4.303,3.0468,23.1,0.0,2.913,1.459,8.815,1.039,1.156,1.09,1.932,-0.244,0.0,1.745,3.579,3.407,7.899,2
231,4.214,2.9483,23.5,0.0,2.587,1.459,8.755,0.991,1.164,1.127,1.902,-0.223,0.0,2.052,3.077,2.5,6.954,2
232,3.732,2.6724,20.0,0.0,2.616,1.585,8.16,1.019,1.172,1.024,1.802,-0.247,0.0,2.488,2.938,3.167,6.799,2
233,3.414,2.956,33.3,0.0,2.39,1.0,7.408,1.09,1.139,1.171,1.618,-0.723,17.611,1.707,3.218,4.5,7.145,2
234,4.236,2.9854,32.1,-0.654,3.751,3.122,10.004,0.974,1.141,1.193,2.0,0.0,10.334,8.008,3.329,2.05,8.216,2
235,4.462,3.3098,32.3,-0.287,3.997,3.524,10.224,0.984,1.141,1.173,2.088,0.0,11.373,9.6,3.384,2.22,8.492,2
236,4.0,3.078,22.2,-0.333,2.306,0.811,8.318,1.022,1.171,1.113,1.732,-0.65,9.222,1.0,3.281,3.667,7.135,2
237,4.372,3.5554,29.2,-0.233,3.138,1.922,9.494,1.007,1.147,1.136,2.031,-0.026,10.251,3.412,3.355,2.6,7.811,2
238,4.382,3.2243,33.3,-0.013,3.935,3.554,10.06,0.973,1.138,1.203,2.051,0.0,11.42,9.36,3.366,1.903,8.397,2
239,4.17,3.5122,33.3,-0.981,2.57,0.971,8.597,1.047,1.139,1.147,1.848,0.444,9.25,1.542,3.396,3.933,7.436,2
240,4.346,3.4572,33.3,-0.33,3.048,1.975,9.16,0.998,1.139,1.181,2.0,0.046,10.346,3.165,3.423,2.63,7.73,2
241,4.644,3.9848,36.8,0.048,3.09,1.837,9.467,1.004,1.131,1.223,2.084,0.048,10.532,2.732,3.529,2.815,7.958,2
242,4.645,3.6462,23.1,-0.987,3.347,2.117,9.828,1.018,1.173,1.104,2.098,-0.008,10.217,4.049,3.432,3.097,8.143,2
243,4.645,0.8039,34.1,-0.966,5.043,1.182,11.662,0.989,1.137,1.173,2.475,0.0,38.399,11.072,3.58,1.998,9.841,2
244,3.902,2.7284,33.3,0.0,3.092,2.322,8.881,0.969,1.141,1.233,1.919,-0.022,0.0,4.086,3.24,2.1,7.617,2
245,3.0,2.5124,33.3,0.0,2.081,0.918,6.594,0.998,1.152,1.303,1.414,0.917,0.0,1.333,3.201,3.5,6.984,2
246,4.362,3.6459,33.3,-0.449,2.997,1.906,9.059,1.027,1.144,1.205,2.0,-0.089,10.198,2.524,3.441,3.208,7.868,2
247,4.5,4.1188,32.0,0.0,4.808,4.3,10.919,0.967,1.14,1.211,2.121,0.0,0.0,10.634,3.939,1.622,9.326,2
248,4.593,2.8754,42.1,-0.036,3.222,1.461,9.665,0.998,1.125,1.264,2.175,0.014,10.502,2.298,3.599,2.483,8.187,2
249,4.499,2.8728,41.2,0.0,2.976,1.125,9.311,0.979,1.127,1.257,2.136,0.043,0.0,1.481,3.554,2.146,7.83,2
250,4.596,3.2643,42.9,0.0,3.025,0.875,9.54,1.022,1.119,1.223,2.175,0.047,0.0,1.069,3.651,2.917,8.003,2
251,4.517,2.898,42.1,0.0,3.086,1.409,9.391,0.987,1.12,1.252,2.149,-0.025,0.0,2.036,3.574,2.074,7.928,2
252,4.607,3.1199,38.9,0.0,3.105,1.187,9.631,0.998,1.132,1.227,2.194,-0.025,0.0,1.544,3.643,2.315,8.042,2
253,4.499,3.0314,50.0,0.0,3.027,1.125,9.311,0.998,1.104,1.291,2.136,0.045,10.006,1.481,3.592,2.583,7.979,2
254,4.732,3.015,47.1,0.121,3.127,1.187,9.642,0.992,1.11,1.286,2.194,-0.025,10.645,1.659,3.652,2.481,8.132,2
255,5.072,2.9677,38.1,-0.942,3.863,2.341,10.435,1.001,1.129,1.206,2.351,0.0,23.889,4.023,3.794,2.433,8.737,2
256,5.075,2.9203,36.4,-0.888,4.159,2.681,10.794,0.986,1.132,1.21,2.357,0.0,25.14,5.828,3.795,2.19,8.941,2
257,4.842,3.2871,41.2,-1.093,3.483,1.258,10.136,1.069,1.127,1.199,2.278,0.005,30.593,2.113,3.849,3.5,8.704,2
258,5.021,3.5325,38.9,-1.291,3.45,1.124,10.277,1.072,1.127,1.147,2.343,0.005,10.313,1.623,3.834,3.611,8.537,2
259,4.499,3.0645,53.8,0.0,3.047,1.125,9.311,0.99,1.102,1.337,2.136,0.046,0.0,1.481,3.636,2.521,8.094,2
260,4.414,2.1543,30.0,0.0,2.736,0.802,9.183,0.97,1.149,1.165,2.101,-0.064,0.0,0.975,3.143,1.833,7.083,2
261,5.099,2.2523,35.1,1.47,3.533,1.938,10.469,0.983,1.135,1.209,2.236,-0.001,10.55,3.879,3.429,2.283,8.257,2
262,4.791,2.9639,45.0,0.0,3.211,1.461,9.725,0.987,1.114,1.29,2.231,0.014,0.0,1.917,3.661,2.383,8.14,2
263,4.842,2.4571,54.5,0.0,3.414,0.0,9.955,0.974,1.094,1.336,2.278,-0.002,0.0,2.113,3.711,1.944,8.428,2
264,4.303,2.9763,30.0,-0.546,2.745,0.862,9.067,1.075,1.146,1.101,2.115,0.153,9.799,0.956,3.464,3.111,7.565,2
265,4.414,2.8688,41.7,-0.053,2.898,0.802,9.183,1.016,1.128,1.25,2.101,-0.082,10.214,0.975,3.523,2.738,7.808,2
266,4.0,2.1142,29.4,0.0,2.585,0.0,8.623,0.972,1.151,1.138,2.0,0.112,0.0,0.667,3.033,1.667,6.823,2
267,4.918,2.3933,21.7,0.0,3.482,1.116,10.266,1.045,1.184,1.136,2.376,0.001,20.532,1.651,3.535,2.731,8.314,2
268,4.983,4.2631,23.1,0.0,3.342,1.792,10.074,1.044,1.16,1.011,2.247,-0.008,0.0,2.666,3.397,3.694,7.88,2
269,4.383,3.2291,32.6,0.022,4.136,3.882,10.272,0.97,1.14,1.199,2.058,0.0,11.783,11.382,3.366,1.789,8.51,2
270,3.956,2.8079,31.9,0.0,3.413,2.974,9.377,0.96,1.141,1.208,1.962,0.001,0.0,6.102,2.976,1.567,7.59,2
271,3.848,2.5749,25.0,0.0,2.824,2.0,8.584,0.975,1.163,1.134,1.879,-0.07,0.0,3.284,2.918,2.125,6.954,2
272,3.802,2.7308,22.2,0.0,2.753,1.95,8.394,1.01,1.166,1.058,1.848,0.141,0.0,2.885,2.955,2.929,6.944,2
273,4.399,3.3815,32.6,-0.214,4.632,4.491,10.776,0.974,1.138,1.206,2.08,0.0,23.914,17.537,3.646,1.855,9.204,2
274,4.334,3.6944,33.3,-0.359,2.838,1.557,8.944,1.013,1.139,1.178,1.97,0.15,10.072,2.195,3.421,2.952,7.598,2
275,4.347,3.1896,33.3,-0.312,3.371,2.565,9.489,0.985,1.139,1.195,2.015,0.004,10.607,4.993,3.423,2.282,7.952,2
276,4.414,3.2075,44.4,-1.157,2.954,0.917,9.459,1.096,1.116,1.183,2.199,-0.091,19.847,1.101,3.658,3.548,8.015,2
277,4.17,2.9651,33.3,0.0,2.499,0.971,8.597,0.979,1.145,1.271,1.848,0.368,0.0,1.542,3.33,2.767,7.322,2
278,4.0,3.0,50.0,0.0,2.72,0.0,8.623,0.971,1.104,1.316,2.0,0.13,0.0,0.667,3.452,2.0,7.573,2
279,4.499,3.0778,43.8,0.0,2.99,1.125,9.311,0.991,1.117,1.253,2.136,0.045,0.0,1.481,3.573,2.146,7.878,2
280,4.783,3.2726,38.9,0.0,3.105,1.187,9.668,0.998,1.132,1.23,2.222,-0.025,0.0,1.358,3.666,2.315,8.046,2
281,5.31,2.3715,58.3,-0.128,3.745,0.625,10.681,1.008,1.087,1.312,2.499,0.0,24.203,1.262,3.942,2.5,8.901,2
282,4.977,1.9452,32.4,-0.347,4.201,3.866,10.735,0.992,1.14,1.166,2.361,0.0,11.747,10.593,3.497,2.3,8.778,2
283,4.977,1.9472,31.4,-0.338,4.127,3.706,10.694,0.993,1.143,1.153,2.361,0.0,11.724,9.639,3.497,2.321,8.68,2
284,4.825,3.1934,46.7,0.0,3.642,1.185,9.902,1.034,1.1,1.359,2.263,0.014,0.0,1.476,4.054,2.483,9.085,1
285,4.562,1.8929,35.1,0.0,3.526,0.0,10.054,0.974,1.139,1.209,2.194,0.0,0.0,4.13,3.489,1.744,8.179,1
286,4.982,2.3934,42.1,-0.686,3.339,0.762,10.226,1.027,1.12,1.204,2.424,0.004,21.884,1.027,3.693,2.773,8.297,1
287,6.316,7.7233,31.6,-4.617,4.645,1.747,12.353,1.291,1.348,0.906,2.69,0.0,9.855,5.094,3.993,5.741,9.673,1
288,6.33,7.9184,31.8,-4.724,4.795,1.824,12.519,1.292,1.35,0.906,2.7,0.0,9.894,5.891,4.005,5.742,9.825,1
289,5.236,3.9153,50.0,0.0,4.045,0.799,10.434,1.133,1.076,1.408,2.414,0.004,0.0,0.873,4.337,2.889,9.676,1
290,5.522,3.7026,36.7,0.0,3.769,1.131,11.278,0.971,1.131,1.265,2.491,0.0,0.0,1.648,3.876,2.022,8.78,1
291,4.0,2.3041,40.0,0.0,3.301,0.0,9.314,0.965,1.125,1.274,2.0,0.004,0.0,1.244,3.237,1.75,7.887,1
292,5.511,3.4572,30.9,0.0,3.844,1.702,11.324,0.988,1.144,1.185,2.455,0.0,0.0,2.753,3.582,2.04,8.624,1
293,5.798,1.9414,53.3,0.0,4.75,0.0,11.103,0.97,1.085,1.455,2.562,0.0,0.0,1.471,10.329,1.883,14.016,1
294,5.451,2.8245,39.2,0.0,4.167,1.07,11.333,1.0,1.131,1.256,2.461,0.0,22.251,4.053,3.91,2.481,9.32,1
295,5.449,3.493,37.5,0.0,3.705,1.162,11.208,0.964,1.13,1.28,2.449,0.0,0.0,1.726,3.814,1.819,8.693,1
296,4.88,2.4237,54.5,0.0,4.426,0.673,10.289,0.994,1.08,1.425,2.316,-0.001,0.0,2.38,6.881,2.012,12.284,1
297,5.495,2.7485,38.7,0.0,4.274,1.059,11.72,0.975,1.127,1.271,2.494,0.0,0.0,3.879,3.895,2.059,9.318,1
298,5.87,2.7059,48.3,0.0,4.278,0.953,11.16,1.039,1.098,1.34,2.52,0.0,0.0,2.321,4.28,2.586,9.741,1
299,5.998,1.8789,44.4,0.642,4.308,0.749,11.637,1.054,1.103,1.332,2.859,0.0,0.0,1.117,4.405,2.355,9.843,1
300,5.997,2.1119,46.2,0.654,4.268,0.76,11.555,1.043,1.099,1.378,2.824,0.0,0.0,1.013,4.404,2.366,9.796,1
301,5.995,2.3808,41.7,0.394,4.378,0.752,11.528,1.074,1.102,1.373,2.805,0.0,0.0,1.076,4.407,2.6,9.952,1
302,5.494,2.7618,42.6,0.0,3.914,1.061,11.182,0.975,1.119,1.288,2.483,0.0,0.0,2.176,3.888,2.04,8.961,1
303,5.029,1.6864,38.8,0.0,4.128,0.0,10.839,0.979,1.119,1.308,2.418,0.0,0.0,3.219,4.348,1.71,9.423,1
304,5.292,4.3135,28.6,0.0,4.256,1.907,10.8,1.1,1.127,1.321,2.255,0.001,0.0,4.275,4.277,2.97,9.84,1
305,4.912,3.4643,50.0,0.0,3.588,0.881,9.863,1.052,1.09,1.388,2.264,-0.025,0.0,0.95,4.139,2.593,9.097,1
306,5.027,3.5931,50.0,0.0,3.764,0.861,10.084,1.079,1.085,1.398,2.318,0.014,0.0,0.984,4.211,2.711,9.329,1
307,4.935,3.5218,50.0,0.0,3.764,0.861,10.06,1.079,1.085,1.399,2.303,0.014,0.0,1.047,4.174,2.711,9.328,1
308,5.119,3.736,50.0,0.0,3.915,0.832,10.265,1.106,1.08,1.405,2.365,-0.008,0.0,0.952,4.27,2.808,9.517,1
309,5.035,2.6068,48.0,0.0,4.145,0.954,10.713,1.064,1.105,1.308,2.368,0.0,21.048,3.414,4.11,2.833,9.572,1
310,5.149,1.8559,40.0,0.0,3.783,0.447,10.642,0.974,1.125,1.238,2.411,0.0,0.0,2.814,3.767,1.825,8.579,1
311,4.675,2.1615,52.0,0.0,3.478,0.0,9.971,0.972,1.1,1.336,2.236,0.001,0.0,2.829,3.633,1.91,8.453,1
312,5.109,2.4912,44.8,0.0,4.178,0.749,10.817,1.028,1.113,1.336,2.398,0.0,0.0,3.174,4.124,2.488,9.615,1
313,5.045,2.1704,53.3,0.0,3.772,0.0,10.481,0.98,1.1,1.338,2.385,0.0,0.0,2.901,3.886,1.951,8.877,1
314,4.461,3.6265,25.7,0.0,3.242,2.117,9.797,0.975,1.161,1.182,2.084,-0.007,0.0,3.798,3.216,1.833,7.767,1
315,4.0,2.7345,16.7,0.0,2.197,0.811,8.318,0.988,1.187,1.104,1.732,-0.572,0.0,1.0,3.02,2.5,6.636,1
316,5.382,4.8614,20.0,0.0,3.855,1.352,10.182,1.086,1.162,1.154,2.264,0.051,19.844,1.459,6.88,3.889,11.599,1
317,3.0,2.0093,22.2,0.0,1.926,0.918,6.594,0.998,1.162,1.102,1.414,0.861,0.0,1.333,2.731,2.5,6.033,1
318,4.414,3.4168,28.6,0.0,2.72,1.379,9.222,0.977,1.148,1.18,2.0,0.124,0.0,2.133,3.189,2.024,7.198,1
319,3.879,3.1116,26.1,0.0,2.995,2.281,8.743,1.007,1.154,1.107,1.902,0.047,0.0,3.685,3.047,2.278,7.323,1
320,3.414,2.1658,20.0,0.0,2.78,1.0,7.408,0.98,1.109,1.396,1.618,-0.501,0.0,1.707,4.066,1.917,8.467,1
321,4.732,3.0634,28.6,0.0,3.327,0.827,10.09,1.014,1.149,1.118,2.236,0.004,0.0,1.026,3.426,2.278,7.977,1
322,4.17,3.021,22.2,-0.259,4.279,0.971,8.597,1.029,1.14,1.495,1.848,0.396,9.583,1.542,10.692,3.257,14.218,1
323,5.248,4.9627,33.3,0.0,3.388,1.792,10.573,0.998,1.152,1.257,2.247,-0.008,0.0,3.06,3.648,2.792,8.44,1
324,3.414,3.4592,28.6,0.0,2.634,1.0,7.408,1.009,1.119,1.384,1.618,-0.642,0.0,1.707,3.844,2.792,8.128,1
325,3.0,1.925,11.1,0.0,1.922,0.918,6.594,0.997,1.203,1.033,1.414,0.852,0.0,1.333,2.684,2.833,5.93,1
326,4.641,2.9372,47.4,0.0,3.37,1.261,9.714,0.986,1.106,1.331,2.214,0.013,0.0,1.783,3.729,2.194,8.517,1
327,5.325,3.1334,53.3,-1.749,4.054,0.789,10.761,1.136,1.082,1.322,2.534,0.0,22.449,1.13,4.276,3.152,9.574,1
328,4.783,3.1253,46.7,0.0,3.439,1.187,9.668,1.012,1.103,1.346,2.222,-0.025,0.0,1.358,3.927,2.34,8.78,1
329,4.912,3.2934,40.0,0.0,3.087,0.881,9.863,0.976,1.129,1.285,2.264,-0.024,0.0,0.95,3.72,2.111,8.103,1
330,4.732,3.2417,37.5,0.0,2.997,0.875,9.579,0.991,1.14,1.25,2.194,0.045,0.0,0.854,3.655,2.417,7.973,1
331,4.596,3.1276,41.2,0.0,2.984,0.875,9.54,0.979,1.127,1.291,2.175,0.043,0.0,1.069,3.632,2.167,7.954,1
332,4.562,3.1562,42.9,0.0,3.202,0.875,9.54,1.005,1.121,1.308,2.17,0.045,0.0,1.14,3.87,2.431,8.463,1
333,5.029,3.5846,40.0,0.0,3.356,1.16,10.122,1.015,1.129,1.26,2.318,-0.008,20.759,1.572,3.882,2.818,8.586,1
334,4.782,3.1979,41.2,0.0,3.507,1.273,9.947,1.043,1.124,1.26,2.251,-0.008,20.346,1.951,3.848,2.995,8.81,1
335,5.004,3.5241,37.5,0.0,3.71,1.16,10.116,1.052,1.13,1.319,2.327,-0.008,0.0,1.268,4.102,2.682,9.166,1
336,5.318,3.1083,40.0,0.0,3.272,1.16,10.388,0.981,1.125,1.263,2.318,-0.007,0.0,1.782,3.702,2.235,8.244,1
337,4.807,3.2498,42.1,0.0,3.1,0.881,9.833,0.987,1.12,1.275,2.246,-0.024,0.0,1.06,3.711,2.333,8.114,1
338,4.642,3.1871,38.9,0.0,3.105,1.187,9.631,0.998,1.132,1.231,2.2,-0.025,0.0,1.487,3.648,2.315,8.042,1
339,4.965,3.6579,40.0,0.0,3.528,1.16,10.099,1.078,1.127,1.237,2.305,-0.008,20.322,1.553,3.972,3.374,8.899,1
340,5.365,3.1068,39.1,0.0,3.287,1.455,10.315,0.998,1.127,1.217,2.315,-0.008,0.0,1.897,3.657,2.402,8.196,1
341,4.783,3.2813,53.8,0.0,3.333,1.187,9.668,1.015,1.098,1.363,2.222,-0.026,0.0,1.358,3.925,2.66,8.631,1
342,4.0,2.2857,40.0,0.0,2.914,0.0,8.908,0.965,1.125,1.295,2.0,0.039,0.0,0.854,3.233,1.75,7.482,1
343,4.679,2.2806,28.6,0.0,3.084,1.261,9.715,0.974,1.154,1.159,2.222,0.012,0.0,1.695,3.245,1.967,7.476,1
344,4.825,2.4725,33.3,0.0,3.15,1.185,9.902,0.993,1.139,1.177,2.263,0.013,0.0,1.476,3.367,2.55,7.747,1
345,5.509,2.1816,48.0,0.0,3.897,0.648,10.62,0.989,1.084,1.449,2.404,0.0,0.0,2.451,4.592,2.15,9.532,1
346,5.2,3.1674,45.5,0.0,3.793,1.125,10.598,1.058,1.121,1.262,2.441,0.0,42.927,1.832,4.033,3.167,9.15,1
347,5.103,2.7331,55.6,-0.185,3.46,0.73,10.265,1.017,1.092,1.294,2.393,-0.002,22.384,1.026,3.843,2.722,8.577,1
348,4.803,1.403,42.2,-0.069,4.134,0.477,10.907,1.003,1.127,1.215,2.356,0.0,23.374,5.207,3.729,2.26,9.22,1
349,4.303,3.3382,33.3,0.0,2.741,0.862,9.067,0.998,1.152,1.289,2.115,0.137,0.0,0.956,3.627,2.194,7.794,1
350,4.499,3.1284,46.7,0.0,3.013,1.125,9.311,0.984,1.116,1.299,2.136,0.045,0.0,1.481,3.608,2.208,7.967,1
351,5.361,1.89,28.9,0.0,3.764,1.591,10.691,1.003,1.151,1.132,2.407,0.0,0.0,3.261,3.495,2.154,8.325,1
352,5.336,2.228,58.3,0.284,4.113,1.013,10.917,1.037,1.07,1.377,2.526,0.0,24.788,1.706,4.238,2.8,9.511,1
353,4.499,2.3906,28.6,0.0,2.889,1.125,9.311,0.987,1.152,1.131,2.136,0.041,0.0,1.481,3.229,1.875,7.32,1
354,4.517,2.2821,25.0,0.0,2.994,1.409,9.391,0.984,1.166,1.129,2.149,-0.023,0.0,2.036,3.219,1.944,7.385,1
355,4.982,2.3549,40.0,-0.186,3.329,0.762,10.226,1.015,1.129,1.216,2.424,0.004,22.106,1.027,3.673,2.682,8.272,1
356,4.596,3.4161,45.5,0.0,3.382,0.875,9.54,1.047,1.111,1.35,2.175,0.047,0.0,1.069,3.992,2.569,8.812,1
357,4.651,3.0402,33.3,0.498,3.349,0.906,9.773,1.05,1.117,1.331,2.278,0.046,10.529,1.017,4.116,2.785,8.818,1
358,4.923,2.7189,46.7,0.014,3.395,0.664,10.037,1.018,1.097,1.327,2.376,-0.008,10.934,1.057,4.009,2.433,8.695,1
359,3.414,2.2062,25.0,0.0,2.889,1.0,7.408,1.037,1.142,1.28,1.618,-0.57,0.0,1.707,3.676,2.806,8.243,1
360,4.923,3.0313,41.7,0.0,3.164,1.185,9.911,0.966,1.121,1.299,2.267,0.012,0.0,1.563,3.669,1.867,8.087,1
361,5.313,3.4071,31.6,0.0,3.492,1.16,10.388,1.031,1.136,1.244,2.311,-0.008,21.362,1.833,4.725,3.114,9.499,1
362,5.072,2.4738,50.0,-0.266,3.72,0.703,10.481,1.015,1.104,1.267,2.363,0.0,11.937,2.723,3.827,2.708,8.803,1
363,4.912,2.3426,48.1,0.0,3.633,0.648,10.338,0.998,1.108,1.281,2.314,0.0,0.0,2.863,3.733,2.411,8.658,1
364,5.125,3.3889,30.8,0.0,2.821,1.299,10.01,0.96,1.144,1.246,2.149,-0.062,0.0,2.097,3.283,1.76,7.401,1
365,5.0,3.756,20.0,0.0,3.4,0.722,9.657,1.212,1.121,1.407,2.0,0.42,0.0,0.8,4.385,3.539,9.115,1
366,5.646,4.6399,25.0,0.0,3.827,0.811,10.505,1.199,1.114,1.392,2.303,-0.086,0.0,1.411,4.444,3.396,9.531,1
367,5.646,4.8079,25.0,0.0,4.249,0.811,10.505,1.27,1.286,1.138,2.303,-0.098,0.0,1.411,6.925,5.0,12.274,1
368,4.523,3.4355,28.6,0.0,2.939,1.837,9.454,0.966,1.151,1.173,2.074,0.038,0.0,2.57,3.177,1.796,7.316,1
369,4.343,4.368,16.7,-2.076,3.044,1.5,9.309,1.088,1.201,1.095,2.0,-0.099,19.316,2.682,3.563,3.917,8.058,1
370,4.737,4.1851,24.1,-0.804,3.693,2.074,10.071,1.014,1.146,1.233,2.175,-0.002,21.065,3.255,3.856,2.81,8.938,1
371,5.262,4.758,27.7,0.0,4.111,3.113,10.545,0.999,1.146,1.156,2.258,0.0,12.646,4.518,4.415,2.204,9.274,1
372,5.333,4.0653,30.2,0.0,4.471,2.205,10.331,0.957,1.134,1.366,2.303,0.0,0.0,1.951,10.319,1.554,14.005,1
373,4.732,2.9815,47.4,1.121,3.102,1.187,9.642,0.969,1.109,1.324,2.194,-0.024,0.0,1.659,3.632,2.037,8.078,1
374,4.912,3.2478,42.9,0.0,3.075,0.881,9.863,0.967,1.119,1.32,2.264,-0.023,0.0,0.95,3.714,1.889,8.09,1
375,4.828,3.0766,45.5,0.0,3.188,1.261,9.749,0.968,1.113,1.31,2.247,0.013,0.0,1.436,3.665,1.983,8.107,1
376,4.641,2.7973,41.7,0.0,3.157,1.261,9.714,0.966,1.121,1.279,2.214,0.012,0.0,1.783,3.623,1.833,8.015,1
