,CYCLOMATIC_DENSITY,DESIGN_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,PERCENT_COMMENTS,TARGET
257,0.1,1.0,21.06,8.36,1470.86,0.06,0.12,81.71,176.0,1.0,0.05,9.09,False
258,0.48,0.9,26.8,22.8,13929.48,0.2,0.04,773.86,610.94,0.1,0.36,0.0,False
259,0.25,1.0,16.45,5.71,537.21,0.03,0.18,29.84,94.01,1.0,0.1,33.33,False
260,0.34,0.5,29.94,20.84,13005.9,0.21,0.05,722.55,624.02,1.0,0.24,3.33,False
261,0.29,0.5,13.2,6.67,586.67,0.03,0.15,32.59,88.0,0.5,0.2,0.0,False
262,0.21,0.5,21.96,14.0,4304.47,0.1,0.07,239.14,307.46,1.0,0.16,90.0,True
263,0.42,0.2,33.86,11.67,4608.33,0.13,0.09,256.01,395.0,0.2,0.19,7.69,False
264,0.06,1.0,71.72,5.25,1976.72,0.13,0.19,109.82,376.52,1.0,0.02,55.0,False
265,0.25,1.0,15.41,8.17,1027.49,0.04,0.12,57.08,125.81,0.33,0.21,0.0,False
266,0.21,0.33,22.29,37.23,30894.1,0.28,0.03,1716.34,829.88,0.17,0.12,32.43,False
267,0.31,0.75,13.35,29.59,11688.41,0.13,0.03,649.36,395.0,0.25,0.24,0.0,False
268,0.18,1.0,41.03,12.75,6670.63,0.17,0.08,370.59,523.19,0.2,0.09,43.59,True
269,0.18,1.0,14.41,16.5,3922.15,0.08,0.06,217.9,237.71,0.33,0.12,15.79,False
270,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.0,False
271,0.33,1.0,11.63,2.0,46.53,0.01,0.5,2.58,23.26,1.0,0.2,0.0,False
272,0.25,1.0,10.81,8.1,709.31,0.03,0.12,39.41,87.57,1.0,0.14,0.0,False
273,1.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.7,0.0,False
274,0.43,0.67,20.26,8.64,1513.68,0.06,0.12,84.09,175.14,0.33,0.21,0.0,False
275,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4,0.0,False
276,0.12,1.0,50.5,9.52,4580.38,0.16,0.11,254.47,480.94,0.33,0.06,32.25,False
277,0.6,1.0,17.03,4.0,272.46,0.02,0.25,15.14,68.11,0.33,0.38,0.0,False
278,1.0,1.0,5.8,2.0,23.22,0.0,0.5,1.29,11.61,1.0,1.0,0.0,False
279,0.5,0.5,17.88,18.4,6054.17,0.11,0.05,336.34,329.03,1.0,0.27,0.0,False
280,0.26,1.0,27.89,9.5,2517.23,0.09,0.11,139.85,264.97,0.2,0.25,0.0,False
281,0.25,0.67,27.33,14.93,6093.85,0.14,0.07,338.55,408.07,1.0,0.22,4.17,False
282,0.5,0.5,10.75,4.0,172.08,0.01,0.25,9.56,43.02,0.5,0.33,0.0,False
283,0.5,0.8,22.9,11.69,3127.8,0.09,0.09,173.77,267.62,0.2,0.25,0.0,False
284,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
285,0.24,1.0,23.75,14.93,5295.85,0.12,0.07,294.21,354.63,0.2,0.2,0.0,False
286,0.33,1.0,8.72,4.0,139.48,0.01,0.25,7.75,34.87,1.0,0.1,40.0,False
287,0.1,1.0,15.9,6.43,656.91,0.03,0.16,36.5,102.19,1.0,0.08,0.0,False
288,0.13,1.0,36.53,4.36,695.61,0.05,0.23,38.65,159.41,1.0,0.04,33.33,False
289,0.18,0.25,40.24,43.62,76555.91,0.59,0.02,4253.11,1755.25,0.25,0.12,42.34,True
290,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
291,0.25,0.2,26.73,9.21,2266.4,0.08,0.11,125.91,246.12,0.2,0.17,10.0,True
292,0.21,0.24,39.18,47.64,88914.45,0.62,0.02,4939.69,1866.52,0.82,0.08,56.39,False
293,0.5,0.5,15.63,5.0,390.69,0.03,0.2,21.7,78.14,0.5,0.18,0.0,False
294,0.27,0.17,16.82,29.19,14337.59,0.16,0.03,796.53,491.14,0.17,0.22,4.35,False
295,0.21,0.13,42.42,18.67,14780.96,0.26,0.05,821.16,791.84,0.63,0.12,29.41,False
296,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
297,0.17,1.0,22.42,4.0,358.77,0.03,0.25,19.93,89.69,1.0,0.1,0.0,False
298,0.4,1.0,15.5,4.67,337.59,0.02,0.21,18.75,72.34,0.5,0.33,0.0,False
299,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,False
300,0.17,0.67,31.26,14.91,6951.19,0.16,0.07,386.18,466.15,0.33,0.05,61.54,False
301,0.33,0.5,5.05,13.5,919.54,0.02,0.07,51.09,68.11,0.5,0.25,14.29,False
302,0.05,1.0,98.33,6.82,4571.18,0.22,0.15,253.95,670.44,1.0,0.03,22.22,False
303,0.05,1.0,40.08,13.5,7303.85,0.18,0.07,405.77,541.03,1.0,0.04,0.0,False
304,1.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.31,0.0,False
305,0.48,0.5,31.72,17.63,9853.99,0.19,0.06,547.44,559.09,0.7,0.43,4.76,False
306,0.2,1.0,15.86,3.5,194.27,0.02,0.29,10.79,55.51,1.0,0.13,0.0,False
307,0.1,0.33,31.25,16.0,7999.44,0.17,0.06,444.41,499.96,0.33,0.08,12.9,True
308,0.13,0.5,27.24,11.46,3576.44,0.1,0.09,198.69,312.13,0.5,0.11,0.0,False
309,0.39,0.5,44.63,34.32,52562.96,0.51,0.03,2920.16,1531.55,1.0,0.34,1.47,False
310,0.36,0.75,25.52,11.7,3493.09,0.1,0.09,194.06,298.56,0.25,0.22,0.0,False
311,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,False
312,0.3,1.0,46.31,7.38,2523.1,0.11,0.14,140.17,341.84,0.33,0.05,82.35,False
313,0.17,0.75,21.57,20.4,8976.0,0.15,0.05,498.67,440.0,0.25,0.13,25.93,False
314,0.1,1.0,16.71,33.75,19031.2,0.19,0.03,1057.29,563.89,1.0,0.07,0.0,False
315,0.45,0.6,17.34,11.9,2455.25,0.07,0.08,136.4,206.32,0.8,0.29,8.33,False
316,0.17,0.22,40.65,58.45,138851.46,0.79,0.02,7713.97,2375.72,0.56,0.08,46.62,False
317,0.29,0.67,19.55,75.6,111737.37,0.49,0.01,6207.63,1478.01,1.0,0.14,41.94,False
318,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
319,0.25,1.0,15.03,6.4,615.75,0.03,0.16,34.21,96.21,1.0,0.14,20.0,False
320,0.16,1.0,30.83,18.75,10839.37,0.19,0.05,602.19,578.1,0.33,0.11,0.0,False
321,0.2,1.0,26.41,6.0,950.74,0.05,0.17,52.82,158.46,0.33,0.13,18.75,False
322,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,False
323,0.29,0.5,18.85,20.3,7766.26,0.13,0.05,431.46,382.57,0.5,0.24,0.0,False
324,0.3,0.33,13.31,10.56,1484.6,0.05,0.09,82.48,140.55,1.0,0.25,0.0,False
325,0.3,0.67,10.13,14.0,1984.88,0.05,0.07,110.27,141.78,0.33,0.23,9.09,False
326,0.5,0.67,17.34,8.25,1180.25,0.05,0.12,65.57,143.06,0.33,0.23,0.0,False
327,0.18,0.5,12.55,14.0,2459.28,0.06,0.07,136.63,175.66,0.5,0.1,8.33,False
328,0.29,0.17,15.38,23.25,8313.66,0.12,0.04,461.87,357.58,0.17,0.17,12.5,False
329,0.17,1.0,15.86,3.5,194.27,0.02,0.29,10.79,55.51,1.0,0.13,0.0,False
330,0.4,0.5,10.24,9.1,848.2,0.03,0.11,47.12,93.21,0.5,0.22,0.0,False
331,0.12,0.12,43.8,87.5,335371.38,1.28,0.01,18631.74,3832.82,0.06,0.09,10.67,False
332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
333,0.12,1.0,30.9,39.09,47217.09,0.4,0.03,2623.17,1207.88,0.2,0.06,30.77,True
334,0.33,0.8,30.32,11.33,3894.84,0.11,0.09,216.38,343.66,0.2,0.29,0.0,False
335,0.25,1.0,18.35,8.33,1274.38,0.05,0.12,70.8,152.93,0.33,0.2,0.0,False
336,0.11,1.0,13.9,10.0,1389.74,0.05,0.1,77.21,138.97,1.0,0.08,10.0,False
337,0.14,0.33,59.92,43.25,112076.69,0.86,0.02,6226.48,2591.37,0.2,0.09,49.22,False
338,0.16,1.0,22.82,13.13,3931.7,0.1,0.08,218.43,299.56,0.33,0.09,14.29,False
339,0.23,0.11,38.0,40.44,62131.34,0.51,0.02,3451.74,1536.55,0.95,0.2,11.76,False
340,0.17,0.5,46.75,20.39,19439.64,0.32,0.05,1079.98,953.33,0.5,0.09,36.84,False
341,0.4,0.5,15.23,5.0,380.74,0.03,0.2,21.15,76.15,0.5,0.25,0.0,False
342,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.0,False
343,0.26,0.39,57.76,57.9,193623.35,1.11,0.02,10756.85,3344.1,0.84,0.15,31.9,False
344,0.17,1.0,19.41,7.22,1012.42,0.05,0.14,56.25,140.18,1.0,0.11,0.0,False
345,0.27,0.41,34.37,67.83,158152.05,0.78,0.01,8786.22,2331.48,0.53,0.23,19.12,False
346,0.03,0.2,132.94,61.45,501990.12,2.72,0.02,27888.34,8169.17,0.2,0.02,26.19,True
347,0.4,1.0,11.58,6.75,527.43,0.03,0.15,29.3,78.14,0.5,0.29,0.0,False
348,0.25,0.33,14.12,11.0,1708.56,0.05,0.09,94.92,155.32,0.33,0.14,8.33,True
349,0.03,1.0,63.11,17.0,18239.92,0.36,0.06,1013.33,1072.94,1.0,0.01,47.37,False
350,0.13,1.0,24.18,4.29,444.05,0.03,0.23,24.67,103.61,1.0,0.06,25.0,False
351,0.31,0.22,13.48,33.0,14676.46,0.15,0.03,815.36,444.74,0.78,0.21,20.0,True
352,0.08,1.0,61.38,3.63,809.5,0.07,0.28,44.97,222.91,1.0,0.02,60.0,False
353,0.26,1.0,25.34,18.21,8406.04,0.15,0.05,467.0,461.51,0.86,0.23,14.81,False
354,0.18,0.33,27.73,19.25,10275.27,0.18,0.05,570.85,533.78,0.33,0.12,55.56,True
355,0.32,0.1,24.94,77.43,149562.2,0.64,0.01,8309.01,1931.46,0.65,0.17,38.89,False
356,0.19,0.6,24.91,18.53,8553.83,0.15,0.05,475.21,461.64,0.6,0.14,20.69,False
357,8.55,0.01,382.67,13.0,64670.9,1.66,0.08,3592.83,4974.68,0.01,2.29,64.29,False
358,0.25,1.0,18.58,9.6,1712.42,0.06,0.1,95.13,178.38,0.33,0.17,0.0,False
359,0.18,0.5,14.74,11.67,2006.67,0.06,0.09,111.48,172.0,0.5,0.1,15.38,False
360,0.2,1.0,18.25,9.0,1478.1,0.05,0.11,82.12,164.23,0.5,0.07,37.5,False
361,0.26,0.2,23.31,30.11,21129.06,0.23,0.03,1173.84,701.84,0.1,0.14,22.22,False
362,0.12,0.82,63.24,30.76,59840.57,0.65,0.03,3324.48,1945.28,0.09,0.09,49.5,True
363,0.11,1.0,42.42,33.07,46402.42,0.47,0.03,2577.91,1402.98,0.2,0.07,13.73,False
364,0.5,0.67,17.34,8.25,1180.25,0.05,0.12,65.57,143.06,0.33,0.23,0.0,False
365,0.32,0.63,19.8,28.5,16082.33,0.19,0.04,893.46,564.29,0.75,0.13,48.72,False
366,0.21,1.0,23.96,9.69,2250.48,0.08,0.1,125.03,232.19,0.33,0.15,0.0,False
367,0.5,1.0,7.75,2.0,31.02,0.01,0.5,1.72,15.51,1.0,0.2,0.0,False
368,0.23,0.17,35.17,22.8,18281.28,0.27,0.04,1015.63,801.81,0.17,0.1,35.0,False
369,1.0,0.5,9.49,3.5,116.27,0.01,0.29,6.46,33.22,0.5,0.5,0.0,False
370,0.09,0.33,31.11,23.57,17284.19,0.24,0.04,960.23,733.27,0.33,0.05,25.53,False
371,1.0,1.0,7.66,18.67,2670.48,0.05,0.05,148.36,143.06,0.5,0.4,0.0,False
372,0.33,1.0,16.5,4.5,334.04,0.02,0.22,18.56,74.23,0.5,0.2,16.67,True
373,0.25,1.0,8.13,2.0,32.5,0.01,0.5,1.81,16.25,1.0,0.14,0.0,False
374,0.1,1.0,22.75,9.92,2237.41,0.08,0.1,124.3,225.62,1.0,0.03,66.67,False
375,0.09,1.0,51.95,30.8,49286.33,0.53,0.03,2738.13,1600.21,0.33,0.03,50.0,True
376,0.17,0.5,10.7,9.0,867.02,0.03,0.11,48.17,96.34,0.5,0.14,8.33,False
377,0.2,0.78,43.12,18.55,14836.51,0.27,0.05,824.25,799.81,0.56,0.13,20.0,False
378,0.2,1.0,10.79,7.2,559.51,0.03,0.14,31.08,77.71,1.0,0.08,37.5,False
379,0.2,1.0,20.77,8.25,1413.48,0.06,0.12,78.53,171.33,1.0,0.11,0.0,False
380,0.5,0.5,11.83,9.33,1030.52,0.04,0.11,57.25,110.41,0.5,0.29,0.0,False
381,0.17,1.0,16.3,4.08,271.98,0.02,0.24,15.11,66.61,1.0,0.08,16.67,True
382,0.15,0.75,18.2,36.93,24819.33,0.22,0.03,1378.85,672.09,0.25,0.07,39.47,True
383,0.25,0.5,9.09,11.0,1100.0,0.03,0.09,61.11,100.0,0.5,0.17,12.5,False
384,0.13,0.5,12.49,28.7,10288.84,0.12,0.03,571.6,358.5,0.5,0.08,0.0,False
385,0.06,1.0,61.05,10.0,6105.34,0.2,0.1,339.19,610.53,1.0,0.05,72.22,False
386,0.31,0.5,16.48,18.75,5795.02,0.1,0.05,321.95,309.07,0.25,0.2,20.0,False
387,0.05,1.0,10.42,45.0,21097.27,0.16,0.02,1172.07,468.83,1.0,0.05,0.0,False
388,0.2,1.0,8.22,9.0,666.08,0.02,0.11,37.0,74.01,1.0,0.14,0.0,False
389,0.48,0.91,35.98,41.03,60570.79,0.49,0.02,3365.04,1476.21,0.05,0.34,0.0,False
390,0.24,0.67,26.92,45.5,55737.5,0.41,0.02,3096.53,1225.0,0.11,0.13,34.69,False
391,0.13,1.0,21.89,4.0,350.28,0.03,0.25,19.46,87.57,1.0,0.05,27.27,False
392,0.25,1.0,17.84,6.19,682.86,0.04,0.16,37.94,110.36,0.5,0.15,12.5,True
393,0.15,0.75,29.04,41.61,50271.95,0.4,0.02,2792.89,1208.21,0.13,0.05,63.2,False
394,0.1,1.0,22.45,4.29,412.33,0.03,0.23,22.91,96.21,1.0,0.05,23.08,False
395,0.13,1.0,18.58,11.0,2247.77,0.07,0.09,124.88,204.34,1.0,0.07,0.0,False
396,0.25,1.0,10.3,4.0,164.84,0.01,0.25,9.16,41.21,1.0,0.14,0.0,False
397,0.2,0.5,40.58,25.19,25740.38,0.34,0.04,1430.02,1022.04,0.13,0.06,65.59,False
398,0.5,0.67,17.34,8.25,1180.25,0.05,0.12,65.57,143.06,0.33,0.21,0.0,False
399,0.15,1.0,23.42,21.94,11272.23,0.17,0.05,626.23,513.83,0.25,0.09,18.75,True
400,0.1,1.0,14.99,5.33,426.42,0.03,0.19,23.69,79.95,1.0,0.08,0.0,False
401,0.5,1.0,8.65,8.0,553.51,0.02,0.13,30.75,69.19,0.5,0.29,0.0,False
402,1.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.0,False
403,0.15,0.17,32.58,28.39,26259.72,0.31,0.04,1458.87,925.0,0.17,0.08,44.83,False
404,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
405,0.24,0.8,25.86,19.73,10069.57,0.17,0.05,559.42,510.28,0.6,0.14,20.0,False
406,0.07,1.0,38.55,5.41,1127.78,0.07,0.18,62.65,208.5,1.0,0.03,30.0,False
407,0.18,1.0,31.77,11.63,4293.21,0.12,0.09,238.51,369.31,0.25,0.11,32.14,False
408,0.25,0.43,17.7,38.25,25897.75,0.23,0.03,1438.76,677.07,0.86,0.12,43.59,False
409,0.16,0.18,30.35,65.33,129533.9,0.66,0.02,7196.33,1982.66,0.09,0.11,32.04,True
410,0.33,0.5,8.3,6.67,369.01,0.02,0.15,20.5,55.35,0.5,0.15,28.57,False
411,0.33,0.5,9.25,8.0,592.07,0.02,0.13,32.89,74.01,0.5,0.25,0.0,False
412,0.8,0.25,7.17,12.0,1032.47,0.03,0.08,57.36,86.04,1.0,0.44,0.0,False
413,0.5,0.67,8.38,10.0,837.62,0.03,0.1,46.53,83.76,1.0,0.33,0.0,False
414,0.08,1.0,41.24,31.72,41502.39,0.44,0.03,2305.69,1308.23,0.33,0.04,35.85,False
415,0.36,0.5,10.18,16.5,2771.94,0.06,0.06,154.0,168.0,0.25,0.27,0.0,False
416,0.13,1.0,15.88,7.0,777.94,0.04,0.14,43.22,111.13,1.0,0.11,0.0,False
417,0.7,0.43,14.22,20.25,5830.36,0.1,0.05,323.91,287.92,0.14,0.58,0.0,False
418,0.08,1.0,23.75,19.5,9030.08,0.15,0.05,501.67,463.08,0.5,0.04,38.24,True
419,0.43,0.67,14.06,8.67,1055.91,0.04,0.12,58.66,121.84,0.33,0.3,25.0,False
420,0.17,1.0,27.93,20.43,11656.27,0.19,0.05,647.57,570.59,0.33,0.13,0.0,False
421,0.13,0.5,60.71,7.71,3612.83,0.16,0.13,200.71,468.33,0.5,0.08,21.05,False
422,0.28,0.4,17.34,20.09,7000.82,0.12,0.05,388.93,348.46,0.2,0.25,0.0,False
423,0.16,0.56,50.7,37.73,72190.59,0.64,0.03,4010.59,1913.13,0.5,0.1,29.63,False
424,0.1,1.0,29.93,8.88,2362.67,0.09,0.11,131.26,265.93,1.0,0.06,0.0,False
425,0.13,1.0,12.15,16.71,3395.18,0.07,0.06,188.62,203.13,1.0,0.09,0.0,False
426,0.29,0.25,23.76,19.0,8577.24,0.15,0.05,476.51,451.43,0.25,0.24,0.0,False
427,0.14,1.0,24.37,5.0,609.18,0.04,0.2,33.84,121.84,1.0,0.04,46.15,False
428,0.15,0.5,28.62,39.24,44060.1,0.37,0.03,2447.78,1122.93,1.0,0.1,32.65,False
429,0.07,1.0,9.39,38.67,14045.29,0.12,0.03,780.29,363.24,1.0,0.06,0.0,False
430,0.5,0.75,17.72,10.83,2080.0,0.06,0.09,115.56,192.0,0.25,0.24,0.0,False
431,0.15,1.0,39.1,16.0,10008.97,0.21,0.06,556.05,625.56,0.17,0.09,36.73,True
432,0.01,1.0,1028.47,10.4,111346.25,3.57,0.1,6185.9,10701.25,1.0,0.01,6.14,False
433,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.18,0.0,False
434,0.75,0.02,49.53,53.67,142651.41,0.89,0.02,7925.08,2658.1,0.11,0.72,1.59,False
435,0.25,1.0,11.63,2.0,46.53,0.01,0.5,2.58,23.26,1.0,0.08,33.33,False
436,0.27,0.67,8.09,21.0,3568.26,0.06,0.05,198.24,169.92,0.33,0.13,42.86,True
437,0.21,1.0,34.99,21.11,15596.05,0.25,0.05,866.45,738.76,0.63,0.19,5.13,False
438,0.55,0.27,21.13,30.33,19439.18,0.21,0.03,1079.95,640.85,0.27,0.46,0.0,False
439,0.67,0.5,14.4,7.5,810.0,0.04,0.13,45.0,108.0,0.5,0.33,0.0,False
440,0.25,1.0,17.09,4.57,357.2,0.03,0.22,19.84,78.14,0.5,0.15,12.5,True
441,0.28,0.2,11.83,26.0,7994.02,0.1,0.04,444.11,307.46,0.2,0.25,0.0,False
442,0.44,0.29,22.03,12.0,3172.85,0.09,0.08,176.27,264.4,0.71,0.39,18.75,False
443,0.35,0.43,17.27,17.55,5319.03,0.1,0.06,295.5,303.08,0.86,0.3,0.0,False
444,0.4,0.5,15.23,6.0,548.26,0.03,0.17,30.46,91.38,0.5,0.06,75.0,False
445,0.22,1.0,21.15,4.5,428.33,0.03,0.22,23.8,95.18,0.5,0.07,27.27,False
446,0.1,0.5,22.1,19.17,8119.88,0.14,0.05,451.1,423.65,0.5,0.05,20.0,False
447,0.33,1.0,10.8,2.5,67.5,0.01,0.4,3.75,27.0,1.0,0.13,25.0,False
448,0.11,1.0,28.28,5.25,779.42,0.05,0.19,43.3,148.46,1.0,0.06,0.0,False
449,0.5,0.67,17.34,8.25,1180.25,0.05,0.12,65.57,143.06,0.33,0.21,0.0,False
450,0.18,0.5,18.01,6.25,703.67,0.04,0.16,39.09,112.59,0.5,0.13,0.0,False
451,0.17,1.0,8.72,4.0,139.48,0.01,0.25,7.75,34.87,1.0,0.01,14.29,False
452,0.4,0.25,8.7,21.6,4061.3,0.06,0.05,225.63,188.02,0.25,0.33,0.0,False
453,0.19,0.29,22.98,22.76,11910.2,0.17,0.04,661.68,523.19,0.71,0.15,23.68,True
454,0.16,0.67,56.19,18.28,18778.17,0.34,0.05,1043.23,1027.18,0.17,0.08,29.63,False
455,0.12,0.67,35.29,31.25,34462.66,0.37,0.03,1914.59,1102.81,0.17,0.06,40.0,False
456,0.18,1.0,15.45,11.0,1869.09,0.06,0.09,103.84,169.92,0.5,0.11,15.38,False
457,0.41,1.0,36.12,34.34,42589.6,0.41,0.03,2366.09,1240.23,1.0,0.22,27.66,False
458,0.17,1.0,25.36,25.88,16988.95,0.22,0.04,943.83,656.39,0.2,0.09,16.67,False
459,0.6,0.67,4.61,13.5,840.64,0.02,0.07,46.7,62.27,0.33,0.5,0.0,False
460,0.19,0.75,41.54,53.56,119157.6,0.74,0.02,6619.87,2224.71,0.5,0.16,10.0,False
461,0.33,0.62,59.54,44.94,120228.24,0.89,0.02,6679.35,2675.53,0.85,0.3,2.44,False
462,0.14,0.8,30.18,28.0,23660.0,0.28,0.04,1314.44,845.0,0.2,0.06,42.31,False
463,0.56,0.2,8.93,15.75,2214.71,0.05,0.06,123.04,140.62,0.6,0.42,0.0,False
464,0.5,0.75,20.85,10.0,2084.61,0.07,0.1,115.81,208.46,0.25,0.24,0.0,False
465,0.38,0.67,15.56,9.0,1260.0,0.05,0.11,70.0,140.0,0.33,0.27,22.22,False
466,0.25,0.33,14.74,29.17,12541.67,0.14,0.03,696.76,430.0,0.17,0.15,4.17,False
467,0.11,1.0,33.28,9.97,3306.02,0.11,0.1,183.67,331.71,0.5,0.06,58.33,True
468,0.14,1.0,39.89,20.67,17036.72,0.27,0.05,946.48,824.36,0.2,0.06,46.67,False
469,0.16,1.0,34.2,29.65,30059.84,0.34,0.03,1669.99,1013.92,0.17,0.1,27.08,True
470,0.5,0.75,21.13,9.29,1821.84,0.07,0.11,101.21,196.2,0.25,0.24,0.0,False
471,0.27,0.71,32.65,14.37,6740.64,0.16,0.07,374.48,469.13,0.14,0.1,63.27,False
472,0.43,0.67,18.58,9.43,1651.29,0.06,0.11,91.74,175.14,0.33,0.2,0.0,False
473,0.41,0.86,29.56,17.53,9086.14,0.17,0.06,504.79,518.28,0.86,0.37,0.0,False
474,0.29,0.5,19.99,4.0,319.82,0.03,0.25,17.77,79.95,0.5,0.22,0.0,False
475,0.2,1.0,13.32,3.5,163.12,0.02,0.29,9.06,46.6,1.0,0.14,0.0,False
476,0.25,1.0,14.86,9.6,1369.94,0.05,0.1,76.11,142.7,0.5,0.2,0.0,False
477,0.11,1.0,15.4,11.0,1863.6,0.06,0.09,103.53,169.42,1.0,0.08,0.0,False
478,0.21,0.5,117.86,30.67,110843.58,1.2,0.03,6157.98,3614.46,0.5,0.11,35.06,True
479,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.45,0.0,False
480,0.2,1.0,25.0,1.8,81.0,0.02,0.56,4.5,45.0,1.0,0.13,0.0,False
481,0.46,0.83,26.14,14.06,5163.5,0.12,0.07,286.86,367.36,0.17,0.27,0.0,False
482,0.07,1.0,21.37,13.3,3780.76,0.09,0.08,210.04,284.27,1.0,0.03,70.0,True
483,0.33,1.0,15.35,10.67,1746.31,0.05,0.09,97.02,163.72,0.33,0.27,0.0,False
484,0.25,1.0,14.99,3.0,134.92,0.01,0.33,7.5,44.97,1.0,0.08,50.0,False
485,0.2,1.0,34.06,3.0,306.56,0.03,0.33,17.03,102.19,1.0,0.14,0.0,False
486,0.33,0.5,9.6,6.13,360.21,0.02,0.16,20.01,58.81,0.5,0.22,0.0,False
487,0.23,0.57,12.36,44.1,24032.81,0.18,0.02,1335.16,544.96,0.71,0.11,44.9,False
488,0.17,0.41,28.06,80.83,183341.27,0.76,0.01,10185.63,2268.34,0.35,0.11,31.75,False
489,0.47,0.11,19.68,25.33,12630.47,0.17,0.04,701.69,498.57,1.0,0.43,0.0,False
490,0.21,0.33,19.01,14.67,4089.46,0.09,0.07,227.19,278.83,0.33,0.14,7.14,True
491,0.14,0.73,44.4,36.47,59060.03,0.54,0.03,3281.11,1619.25,0.09,0.09,29.79,True
492,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
493,0.64,0.71,7.1,27.62,5419.98,0.07,0.04,301.11,196.2,0.86,0.5,0.0,False
494,0.25,1.0,11.84,5.63,374.67,0.02,0.18,20.81,66.61,1.0,0.17,0.0,False
495,0.6,0.17,9.15,19.2,3374.61,0.06,0.05,187.48,175.76,0.83,0.46,0.0,False
496,0.27,0.27,45.21,24.8,27807.82,0.37,0.04,1544.88,1121.28,0.09,0.09,60.92,False
497,0.33,0.83,26.43,17.45,8053.59,0.15,0.06,447.42,461.4,0.17,0.15,0.0,False
498,0.28,0.8,17.71,13.85,3394.73,0.08,0.07,188.6,245.18,0.2,0.11,55.26,False
499,0.8,0.13,9.44,27.0,6884.83,0.08,0.04,382.49,254.99,0.88,0.57,0.0,False
500,0.22,0.23,36.37,41.48,62590.96,0.5,0.02,3477.28,1508.87,0.69,0.11,55.17,True
501,0.4,0.5,7.62,8.0,487.55,0.02,0.13,27.09,60.94,0.5,0.25,0.0,False
502,0.16,0.62,57.88,39.06,88285.54,0.75,0.03,4904.75,2260.51,0.54,0.11,24.0,False
503,0.5,1.0,5.8,2.0,23.22,0.0,0.5,1.29,11.61,1.0,0.2,0.0,False
504,0.15,0.74,72.82,37.62,103078.67,0.91,0.03,5726.59,2739.78,0.26,0.12,12.0,False
505,0.31,1.0,25.59,23.5,14132.38,0.2,0.04,785.13,601.38,0.13,0.18,3.7,False
506,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
507,0.17,0.6,29.78,16.47,8078.25,0.16,0.06,448.79,490.47,0.2,0.06,59.26,False
508,0.2,1.0,17.22,4.08,287.09,0.02,0.24,15.95,70.31,1.0,0.11,0.0,False
509,0.37,0.6,26.68,23.54,14784.08,0.21,0.04,821.34,628.08,0.1,0.22,25.81,False
510,0.6,1.0,13.34,10.0,1334.38,0.04,0.1,74.13,133.44,0.33,0.5,0.0,False
511,0.13,1.0,25.29,7.22,1319.22,0.06,0.14,73.29,182.66,1.0,0.06,20.0,False
512,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33,0.0,False
513,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,False
514,0.11,0.2,36.38,29.0,30595.0,0.35,0.03,1699.72,1055.0,0.6,0.06,38.98,True
515,0.07,1.0,49.24,12.67,7899.91,0.21,0.08,438.88,623.68,0.5,0.03,28.21,True
516,0.1,0.67,33.43,19.13,12234.56,0.21,0.05,679.7,639.53,0.33,0.03,63.24,False
